ano,pais,kg,us$,us$/kg
2021,Suíça,1074,4739,4.412476722532588
2022,Suíça,0,0,0.0
2023,Suíça,444,4474,10.076576576576576
2008,Suriname,0,0,0.0
2009,Suriname,0,0,0.0
2010,Suriname,0,0,0.0
2011,Suriname,0,0,0.0
2012,Suriname,0,0,0.0
2013,Suriname,0,0,0.0
2014,Suriname,31,88,2.838709677419355
2015,Suriname,8,19,2.375
2016,Suriname,0,0,0.0
2017,Suriname,0,0,0.0
2018,Suriname,0,0,0.0
2019,Suriname,2,3,1.5
2020,Suriname,0,0,0.0
2021,Suriname,880,4202,4.775
2022,Suriname,0,0,0.0
2023,Suriname,0,0,0.0
2008,Tailândia,0,0,0.0
2009,Tailândia,0,0,0.0
2010,Tailândia,0,0,0.0
2011,Tailândia,0,0,0.0
2012,Tailândia,0,0,0.0
2013,Tailândia,0,0,0.0
2014,Tailândia,0,0,0.0
2015,Tailândia,0,0,0.0
2016,Tailândia,0,0,0.0
2017,Tailândia,0,0,0.0
2018,Tailândia,0,0,0.0
2019,Tailândia,8,169,21.125
2020,Tailândia,16,287,17.9375
2021,Tailândia,22,142,6.454545454545454
2022,Tailândia,17,107,6.294117647058823
2023,Tailândia,7,43,6.142857142857143
2008,Taiwan (Formosa),0,0,0.0
2009,Taiwan (Formosa),0,0,0.0
2010,Taiwan (Formosa),0,0,0.0
2011,Taiwan (Formosa),0,0,0.0
2012,Taiwan (Formosa),0,0,0.0
2013,Taiwan (Formosa),0,0,0.0
2014,Taiwan (Formosa),0,0,0.0
2015,Taiwan (Formosa),0,0,0.0
2016,Taiwan (Formosa),2706,13484,4.9830007390983
2017,Taiwan (Formosa),1507,6574,4.362309223623092
2018,Taiwan (Formosa),0,0,0.0
2019,Taiwan (Formosa),5,6,1.2
2020,Taiwan (Formosa),995,4212,4.233165829145729
2021,Taiwan (Formosa),1255,5578,4.444621513944223
2022,Taiwan (Formosa),901,4141,4.5960044395116535
2023,Taiwan (Formosa),1099,3664,3.3339399454049135
2008,"Tcheca, República",0,0,0.0
2009,"Tcheca, República",0,0,0.0
2010,"Tcheca, República",0,0,0.0
2011,"Tcheca, República",0,0,0.0
2012,"Tcheca, República",0,0,0.0
2013,"Tcheca, República",0,0,0.0
2014,"Tcheca, República",0,0,0.0
2015,"Tcheca, República",0,0,0.0
2016,"Tcheca, República",0,0,0.0
2017,"Tcheca, República",0,0,0.0
2018,"Tcheca, República",0,0,0.0
2019,"Tcheca, República",0,0,0.0
2020,"Tcheca, República",0,0,0.0
2021,"Tcheca, República",0,0,0.0
2022,"Tcheca, República",0,0,0.0
2023,"Tcheca, República",167,1236,7.401197604790419
2008,Trinidade e Tobago,0,0,0.0
2009,Trinidade e Tobago,0,0,0.0
2010,Trinidade e Tobago,18,20,1.1111111111111112
2011,Trinidade e Tobago,0,0,0.0
2012,Trinidade e Tobago,383,1785,4.660574412532637
2013,Trinidade e Tobago,0,0,0.0
2014,Trinidade e Tobago,315,1470,4.666666666666667
2015,Trinidade e Tobago,0,0,0.0
2016,Trinidade e Tobago,0,0,0.0
2017,Trinidade e Tobago,0,0,0.0
2018,Trinidade e Tobago,0,0,0.0
2019,Trinidade e Tobago,0,0,0.0
2020,Trinidade e Tobago,0,0,0.0
2021,Trinidade e Tobago,0,0,0.0
2022,Trinidade e Tobago,0,0,0.0
2023,Trinidade e Tobago,0,0,0.0
2008,Turquia,0,0,0.0
2009,Turquia,0,0,0.0
2010,Turquia,0,0,0.0
2011,Turquia,0,0,0.0
2012,Turquia,0,0,0.0
2013,Turquia,0,0,0.0
2014,Turquia,0,0,0.0
2015,Turquia,0,0,0.0
2016,Turquia,0,0,0.0
2017,Turquia,0,0,0.0
2018,Turquia,0,0,0.0
2019,Turquia,6,30,5.0
2020,Turquia,18,75,4.166666666666667
2021,Turquia,74,258,3.4864864864864864
2022,Turquia,2,17,8.5
2023,Turquia,6930,26566,3.8334776334776333
2008,Uruguai,0,0,0.0
2009,Uruguai,0,0,0.0
2010,Uruguai,472,21325,45.18008474576271
2011,Uruguai,0,0,0.0
2012,Uruguai,0,0,0.0
2013,Uruguai,22717,82754,3.6428225557952194
2014,Uruguai,34463,128510,3.7289266749847663
2015,Uruguai,19574,74551,3.808674772657607
2016,Uruguai,7656,28085,3.668364681295716
2017,Uruguai,13237,48581,3.670091410440432
2018,Uruguai,9265,34039,3.6739341608202913
2019,Uruguai,2808,15045,5.357905982905983
2020,Uruguai,1796,15322,8.531180400890868
2021,Uruguai,0,0,0.0
2022,Uruguai,10200,87895,8.617156862745098
2023,Uruguai,2812,14352,5.103840682788051
2008,Vanuatu,0,0,0.0
2009,Vanuatu,0,0,0.0
2010,Vanuatu,0,0,0.0
2011,Vanuatu,0,0,0.0
2012,Vanuatu,0,0,0.0
2013,Vanuatu,0,0,0.0
2014,Vanuatu,0,0,0.0
2015,Vanuatu,0,0,0.0
2016,Vanuatu,0,0,0.0
2017,Vanuatu,0,0,0.0
2018,Vanuatu,0,0,0.0
2019,Vanuatu,0,0,0.0
2020,Vanuatu,14,31,2.2142857142857144
2021,Vanuatu,0,0,0.0
2022,Vanuatu,0,0,0.0
2023,Vanuatu,0,0,0.0
2008,Venezuela,0,0,0.0
2009,Venezuela,0,0,0.0
2010,Venezuela,0,0,0.0
2011,Venezuela,0,0,0.0
2012,Venezuela,1470,10065,6.846938775510204
2013,Venezuela,0,0,0.0
2014,Venezuela,2,46,23.0
2015,Venezuela,0,0,0.0
2016,Venezuela,16,13,0.8125
2017,Venezuela,455,2205,4.846153846153846
2018,Venezuela,5,10,2.0
2019,Venezuela,450,2670,5.933333333333334
2020,Venezuela,0,0,0.0
2021,Venezuela,0,0,0.0
2022,Venezuela,0,0,0.0
2023,Venezuela,0,0,0.0
2008,Vietnã,0,0,0.0
2009,Vietnã,675,1768,2.6192592592592594
2010,Vietnã,189,651,3.4444444444444446
2011,Vietnã,0,0,0.0
2012,Vietnã,0,0,0.0
2013,Vietnã,0,0,0.0
2014,Vietnã,0,0,0.0
2015,Vietnã,0,0,0.0
2016,Vietnã,0,0,0.0
2017,Vietnã,0,0,0.0
2018,Vietnã,0,0,0.0
2019,Vietnã,0,0,0.0
2020,Vietnã,0,0,0.0
2021,Vietnã,144,374,2.5972222222222223
2022,Vietnã,16,19,1.1875
2023,Vietnã,0,0,0.0
